Topic 0(0.013):	screen(0.026)	great(0.026)	good(0.026)	size(0.026)	respons(0.026)	resolut(0.025)	touch(0.025)	clear(0.025)	love(0.025)	color(0.024)	view(0.024)	small(0.024)	bright(0.024)	beauti(0.023)	nice(0.023)	button(0.023)	hd(0.023)	inch(0.023)	scratch(0.023)	finger(0.023)	sensit(0.022)	glass(0.022)	angl(0.022)	best(0.022)	larger(0.021)	recommend(0.021)	perfect(0.021)	happi(0.021)	excel(0.021)	bigger(0.021)	worth(0.020)	awesom(0.020)	amaz(0.020)	impress(0.020)	correct(0.019)	glad(0.019)	posit(0.019)	fantast(0.019)	fun(0.019)	comfort(0.019)	satisfi(0.019)	favorit(0.019)	qualiti(0.000)	display(0.000)	light(0.000)	reason(0.000)	experi(0.000)	box(0.000)	hope(0.000)	bit(0.000)	
Topic 33(0.015):	price(0.204)	better(0.019)	low(0.018)	size(0.016)	screen(0.011)	high(0.010)	decent(0.009)	spec(0.009)	good(0.008)	nt(0.007)	pretti(0.006)	sale(0.006)	expect(0.006)	big(0.005)	cost(0.005)	respons(0.005)	find(0.005)	easi(0.005)	pay(0.005)	fast(0.005)	consid(0.004)	qualiti(0.004)	wife(0.004)	bought(0.004)	includ(0.004)	resolut(0.004)	definit(0.004)	paid(0.004)	buy(0.004)	light(0.004)	brand(0.004)	camera(0.003)	deal(0.003)	reason(0.003)	work(0.003)	time(0.003)	compar(0.003)	android(0.003)	great(0.003)	lot(0.003)	app(0.003)	check(0.003)	thought(0.003)	read(0.003)	featur(0.003)	purchas(0.003)	enjoy(0.003)	solid(0.003)	product(0.003)	list(0.003)	
Topic 34(0.015):	nt(0.393)	work(0.011)	thing(0.008)	find(0.008)	big(0.006)	buy(0.005)	screen(0.005)	better(0.004)	phone(0.004)	time(0.004)	pretti(0.004)	wo(0.003)	lot(0.003)	great(0.003)	reason(0.003)	case(0.003)	complet(0.003)	bought(0.003)	good(0.003)	day(0.003)	android(0.003)	week(0.002)	open(0.002)	start(0.002)	long(0.002)	easi(0.002)	annoy(0.002)	second(0.002)	wait(0.002)	person(0.002)	laptop(0.002)	consid(0.002)	hope(0.002)	care(0.002)	featur(0.002)	turn(0.002)	set(0.002)	issu(0.002)	star(0.002)	expect(0.002)	onlin(0.002)	notic(0.002)	app(0.002)	experi(0.002)	camera(0.002)	peopl(0.002)	thought(0.002)	qualiti(0.002)	high(0.002)	pay(0.002)	
Topic 35(0.016):	work(0.401)	fine(0.076)	nt(0.005)	phone(0.005)	time(0.005)	find(0.004)	proper(0.004)	great(0.003)	big(0.003)	screen(0.003)	bought(0.003)	cover(0.003)	better(0.003)	lot(0.003)	laptop(0.003)	return(0.002)	complet(0.002)	pc(0.002)	instal(0.002)	person(0.002)	comput(0.002)	fast(0.002)	hope(0.002)	star(0.002)	day(0.002)	wait(0.002)	fail(0.002)	turn(0.002)	start(0.002)	week(0.002)	money(0.002)	onlin(0.002)	read(0.002)	figur(0.002)	mine(0.002)	camera(0.002)	easi(0.002)	month(0.002)	bit(0.002)	buy(0.002)	minut(0.002)	featur(0.002)	brand(0.002)	system(0.002)	thing(0.002)	experi(0.002)	deal(0.002)	load(0.002)	short(0.002)	small(0.002)	
Topic 36(0.015):	great(0.120)	fast(0.110)	lot(0.038)	better(0.021)	work(0.016)	big(0.012)	easi(0.010)	nt(0.008)	screen(0.008)	con(0.006)	thing(0.006)	deal(0.006)	light(0.006)	find(0.005)	qualiti(0.005)	respons(0.005)	phone(0.005)	purchas(0.005)	size(0.005)	smooth(0.005)	time(0.004)	good(0.004)	enjoy(0.004)	wife(0.004)	expect(0.004)	bought(0.004)	real(0.003)	price(0.003)	thought(0.003)	pretti(0.003)	start(0.003)	week(0.003)	peopl(0.003)	super(0.003)	camera(0.003)	featur(0.003)	fit(0.003)	laptop(0.003)	lag(0.003)	app(0.003)	extrem(0.003)	product(0.002)	learn(0.002)	comput(0.002)	set(0.002)	help(0.002)	day(0.002)	definit(0.002)	easili(0.002)	small(0.002)	
Topic 37(0.015):	video(0.053)	download(0.038)	nt(0.031)	screen(0.026)	app(0.019)	sound(0.018)	time(0.016)	option(0.014)	set(0.013)	find(0.013)	speaker(0.013)	watch(0.011)	updat(0.011)	better(0.011)	hour(0.010)	movi(0.010)	side(0.009)	qualiti(0.009)	play(0.008)	choic(0.008)	good(0.008)	featur(0.008)	top(0.008)	turn(0.008)	prime(0.007)	hold(0.007)	kid(0.007)	android(0.006)	lot(0.006)	notic(0.006)	version(0.006)	experi(0.005)	bright(0.005)	minut(0.005)	upgrad(0.005)	button(0.005)	chang(0.005)	left(0.005)	tv(0.005)	view(0.004)	memori(0.004)	phone(0.004)	deal(0.004)	content(0.004)	definit(0.004)	text(0.004)	brows(0.004)	hand(0.004)	great(0.004)	free(0.004)	
Topic 38(0.016):	game(0.156)	play(0.140)	movi(0.064)	watch(0.050)	lot(0.009)	tv(0.007)	download(0.005)	netflix(0.005)	video(0.005)	nt(0.004)	enjoy(0.004)	screen(0.004)	expect(0.004)	app(0.004)	laptop(0.004)	graphic(0.004)	reason(0.004)	great(0.003)	music(0.003)	big(0.003)	time(0.003)	read(0.003)	find(0.003)	thing(0.003)	basic(0.003)	feel(0.003)	decent(0.003)	person(0.003)	price(0.003)	review(0.003)	work(0.002)	buy(0.002)	long(0.002)	pay(0.002)	kid(0.002)	good(0.002)	high(0.002)	friend(0.002)	half(0.002)	money(0.002)	simpl(0.002)	check(0.002)	web(0.002)	fast(0.002)	qualiti(0.002)	cool(0.002)	version(0.002)	better(0.002)	pretti(0.002)	purchas(0.002)	
Topic 39(0.015):	asus(0.203)	pad(0.025)	time(0.018)	screen(0.014)	issu(0.009)	buy(0.009)	thought(0.009)	hope(0.009)	nt(0.008)	qualiti(0.007)	week(0.007)	wait(0.007)	point(0.006)	design(0.006)	start(0.006)	support(0.006)	three(0.005)	return(0.005)	bought(0.005)	work(0.005)	star(0.004)	reason(0.004)	help(0.004)	option(0.004)	drop(0.004)	mine(0.004)	absolut(0.004)	manufactur(0.004)	experi(0.004)	cost(0.004)	deal(0.004)	find(0.004)	brand(0.004)	upgrad(0.004)	good(0.004)	better(0.003)	month(0.003)	respons(0.003)	laptop(0.003)	review(0.003)	fast(0.003)	left(0.003)	close(0.003)	price(0.003)	high(0.003)	product(0.003)	day(0.003)	open(0.003)	thing(0.003)	dead(0.003)	
Topic 40(0.017):	kindl(0.202)	fire(0.099)	amazon(0.083)	hdx(0.083)	book(0.041)	read(0.038)	hd(0.033)	origin(0.011)	movi(0.010)	prime(0.009)	blue(0.008)	upgrad(0.007)	offer(0.007)	help(0.007)	improv(0.006)	watch(0.006)	easi(0.005)	featur(0.005)	white(0.005)	light(0.005)	content(0.005)	special(0.005)	music(0.004)	notic(0.004)	free(0.004)	access(0.004)	download(0.004)	love(0.003)	color(0.003)	tv(0.003)	background(0.003)	mini(0.003)	internet(0.003)	email(0.002)	easier(0.002)	enjoy(0.002)	lighter(0.002)	reader(0.002)	servic(0.002)	allow(0.002)	stream(0.002)	peopl(0.002)	year(0.002)	edg(0.002)	big(0.002)	check(0.002)	friend(0.002)	weight(0.001)	find(0.001)	question(0.001)	
Topic 41(0.015):	product(0.376)	purchas(0.026)	buy(0.013)	work(0.006)	money(0.006)	receiv(0.005)	cost(0.004)	bought(0.004)	deal(0.004)	qualiti(0.004)	return(0.004)	start(0.003)	review(0.003)	week(0.003)	nt(0.003)	enjoy(0.003)	help(0.003)	month(0.003)	compani(0.003)	time(0.003)	expect(0.003)	better(0.003)	fast(0.003)	horribl(0.003)	good(0.003)	friend(0.003)	brand(0.003)	lot(0.002)	star(0.002)	thing(0.002)	great(0.002)	person(0.002)	complet(0.002)	respons(0.002)	consid(0.002)	three(0.002)	find(0.002)	wife(0.002)	comput(0.002)	price(0.002)	check(0.002)	easi(0.002)	rate(0.002)	onlin(0.002)	hope(0.002)	screen(0.002)	laptop(0.002)	replac(0.002)	item(0.002)	instruct(0.002)	
Topic 42(0.017):	warranti(0.050)	custom(0.047)	repair(0.044)	send(0.042)	servic(0.039)	month(0.038)	week(0.037)	call(0.035)	compani(0.034)	told(0.028)	email(0.024)	receiv(0.023)	support(0.020)	replac(0.016)	number(0.015)	final(0.013)	ship(0.013)	cost(0.012)	pay(0.012)	rma(0.011)	day(0.010)	help(0.009)	respond(0.008)	crack(0.007)	care(0.006)	damag(0.006)	manufactur(0.006)	contact(0.005)	product(0.005)	return(0.005)	defect(0.005)	address(0.004)	start(0.004)	bought(0.004)	phone(0.004)	complet(0.003)	cover(0.003)	cours(0.003)	three(0.003)	instruct(0.003)	time(0.003)	issu(0.003)	year(0.003)	buy(0.002)	work(0.002)	spend(0.002)	drop(0.002)	nt(0.002)	wait(0.002)	respons(0.002)	
Topic 43(0.016):	bought(0.088)	money(0.071)	kid(0.063)	month(0.060)	buy(0.037)	son(0.037)	broke(0.021)	pay(0.019)	week(0.018)	spend(0.011)	zeepad(0.009)	work(0.006)	time(0.005)	drop(0.005)	die(0.005)	brand(0.004)	nt(0.004)	paid(0.004)	return(0.004)	purchas(0.004)	coupl(0.004)	thought(0.004)	screen(0.004)	wait(0.003)	three(0.003)	better(0.003)	piec(0.003)	wife(0.003)	find(0.003)	start(0.003)	enjoy(0.003)	day(0.003)	replac(0.003)	easi(0.002)	guess(0.002)	expect(0.002)	break(0.002)	year(0.002)	star(0.002)	play(0.002)	frustrat(0.002)	broken(0.002)	help(0.002)	christma(0.002)	extra(0.002)	big(0.002)	spent(0.002)	total(0.002)	price(0.002)	buck(0.002)	
Topic 44(0.015):	work(0.159)	day(0.136)	week(0.019)	nt(0.011)	time(0.010)	start(0.009)	bought(0.007)	return(0.007)	screen(0.006)	buy(0.006)	better(0.005)	thing(0.005)	drop(0.005)	help(0.004)	wait(0.004)	phone(0.004)	wife(0.004)	good(0.004)	purchas(0.004)	rate(0.004)	laptop(0.004)	thought(0.004)	star(0.004)	great(0.004)	mine(0.003)	turn(0.003)	coupl(0.003)	guess(0.003)	fine(0.003)	cost(0.003)	hope(0.003)	month(0.003)	receiv(0.003)	complet(0.003)	money(0.003)	find(0.003)	product(0.003)	extrem(0.003)	respons(0.003)	die(0.003)	deal(0.002)	enjoy(0.002)	spend(0.002)	comput(0.002)	fast(0.002)	lot(0.002)	minut(0.002)	issu(0.002)	half(0.002)	review(0.002)	
Topic 45(0.017):	ipad(0.380)	appl(0.143)	air(0.026)	iphon(0.017)	itun(0.012)	generat(0.010)	peopl(0.008)	mini(0.007)	io(0.006)	sync(0.005)	better(0.005)	retina(0.005)	definit(0.004)	web(0.004)	buy(0.003)	big(0.003)	wife(0.003)	improv(0.003)	version(0.003)	consid(0.003)	compar(0.003)	store(0.003)	3rd(0.003)	lighter(0.003)	design(0.002)	true(0.002)	faster(0.002)	find(0.002)	lot(0.002)	multitask(0.002)	notic(0.002)	releas(0.002)	weight(0.002)	model(0.002)	user(0.002)	origin(0.002)	memori(0.002)	prefer(0.002)	laptop(0.002)	number(0.002)	purchas(0.002)	fan(0.002)	upgrad(0.002)	time(0.002)	direct(0.002)	limit(0.002)	year(0.002)	size(0.002)	smaller(0.001)	bit(0.001)	
Topic 46(0.017):	return(0.112)	amazon(0.073)	order(0.067)	ship(0.061)	item(0.059)	box(0.049)	receiv(0.043)	arriv(0.021)	refund(0.020)	defect(0.016)	day(0.016)	purchas(0.015)	open(0.009)	broken(0.009)	week(0.008)	zeepad(0.007)	paid(0.006)	pay(0.006)	exchang(0.005)	seller(0.005)	product(0.005)	start(0.005)	send(0.004)	wait(0.004)	damag(0.003)	origin(0.003)	brand(0.003)	sell(0.003)	total(0.003)	buy(0.003)	money(0.002)	replac(0.002)	custom(0.002)	turn(0.002)	packag(0.002)	review(0.002)	compani(0.002)	nt(0.002)	person(0.002)	work(0.002)	accept(0.002)	condit(0.002)	star(0.002)	respond(0.002)	today(0.002)	time(0.002)	final(0.002)	email(0.002)	hope(0.002)	thought(0.002)	
Topic 47(0.016):	screen(0.406)	touch(0.091)	crack(0.023)	respons(0.009)	drop(0.006)	resolut(0.004)	cover(0.003)	easili(0.003)	side(0.003)	coupl(0.003)	week(0.003)	edg(0.003)	fast(0.003)	work(0.002)	time(0.002)	start(0.002)	nt(0.002)	better(0.002)	corner(0.002)	read(0.002)	built(0.002)	good(0.002)	design(0.002)	second(0.002)	lot(0.002)	notic(0.002)	consid(0.002)	find(0.002)	easi(0.002)	pretti(0.002)	day(0.002)	system(0.002)	stay(0.002)	big(0.002)	mine(0.002)	hold(0.002)	half(0.002)	issu(0.001)	respond(0.001)	experi(0.001)	difficult(0.001)	bright(0.001)	open(0.001)	month(0.001)	tap(0.001)	case(0.001)	money(0.001)	feel(0.001)	bought(0.001)	suppos(0.001)	
Topic 48(0.016):	window(0.123)	keyboard(0.075)	comput(0.039)	laptop(0.039)	offic(0.024)	desktop(0.023)	microsoft(0.023)	pro(0.022)	surfac(0.022)	dell(0.020)	softwar(0.020)	program(0.019)	machin(0.016)	full(0.016)	acer(0.014)	instal(0.012)	pc(0.008)	graphic(0.008)	os(0.007)	bluetooth(0.005)	version(0.005)	usb(0.005)	includ(0.005)	work(0.004)	requir(0.004)	small(0.004)	design(0.004)	mode(0.004)	capabl(0.004)	accessori(0.003)	touchscreen(0.003)	portabl(0.003)	dock(0.003)	mous(0.003)	hardwar(0.003)	sleep(0.003)	option(0.003)	form(0.003)	cover(0.003)	real(0.003)	touch(0.003)	screen(0.003)	function(0.003)	upgrad(0.003)	replac(0.002)	interfac(0.002)	nt(0.002)	find(0.002)	restart(0.002)	stand(0.002)	
Topic 49(0.015):	function(0.055)	user(0.043)	phone(0.028)	open(0.025)	learn(0.023)	find(0.021)	manual(0.019)	time(0.017)	help(0.014)	set(0.013)	comput(0.013)	download(0.012)	nt(0.010)	work(0.008)	instruct(0.007)	basic(0.007)	lot(0.006)	great(0.006)	check(0.006)	websit(0.005)	multipl(0.005)	figur(0.005)	thing(0.005)	friend(0.005)	featur(0.005)	start(0.004)	easi(0.004)	big(0.004)	email(0.004)	better(0.004)	offer(0.004)	option(0.004)	account(0.004)	android(0.003)	understand(0.003)	box(0.003)	pc(0.003)	extra(0.003)	decent(0.003)	long(0.003)	issu(0.003)	expect(0.003)	deal(0.003)	day(0.003)	screen(0.003)	app(0.003)	star(0.003)	onlin(0.003)	enjoy(0.003)	reason(0.003)	
Topic 50(0.015):	slow(0.129)	expect(0.080)	cheap(0.070)	screen(0.017)	qualiti(0.012)	better(0.011)	price(0.011)	nt(0.010)	pay(0.010)	buy(0.007)	low(0.007)	work(0.006)	fast(0.006)	money(0.005)	bought(0.005)	horribl(0.004)	bit(0.004)	good(0.004)	high(0.003)	week(0.003)	start(0.003)	wait(0.003)	brand(0.003)	freez(0.003)	lag(0.003)	big(0.003)	basic(0.003)	day(0.003)	decent(0.003)	time(0.003)	function(0.003)	open(0.003)	phone(0.003)	order(0.003)	month(0.003)	reason(0.003)	thing(0.003)	touch(0.003)	fine(0.003)	help(0.003)	frustrat(0.003)	compar(0.002)	camera(0.002)	perform(0.002)	product(0.002)	issu(0.002)	guess(0.002)	save(0.002)	hope(0.002)	review(0.002)	
Topic 51(0.016):	video(0.094)	flash(0.058)	player(0.033)	support(0.030)	archo(0.026)	watch(0.025)	browser(0.020)	site(0.020)	music(0.019)	adob(0.019)	web(0.018)	media(0.018)	youtub(0.015)	android(0.014)	limit(0.012)	play(0.012)	stream(0.012)	version(0.011)	file(0.010)	download(0.010)	format(0.010)	instal(0.009)	view(0.007)	lack(0.007)	websit(0.006)	app(0.006)	thing(0.004)	add(0.004)	basic(0.004)	better(0.004)	time(0.004)	free(0.004)	work(0.003)	open(0.003)	load(0.003)	access(0.003)	featur(0.003)	movi(0.003)	good(0.003)	pc(0.003)	lot(0.003)	find(0.003)	internet(0.003)	screen(0.003)	amazon(0.002)	read(0.002)	nt(0.002)	storag(0.002)	option(0.002)	comput(0.002)	
Topic 52(0.016):	devic(0.407)	experi(0.012)	user(0.007)	time(0.006)	design(0.006)	point(0.006)	lack(0.005)	screen(0.005)	nt(0.005)	android(0.005)	includ(0.004)	limit(0.004)	feel(0.004)	option(0.004)	requir(0.004)	function(0.004)	star(0.003)	support(0.003)	allow(0.003)	purchas(0.003)	good(0.003)	featur(0.003)	find(0.003)	content(0.003)	hardwar(0.003)	peopl(0.003)	lot(0.003)	expect(0.003)	notic(0.003)	case(0.003)	better(0.003)	interfac(0.003)	consid(0.003)	app(0.003)	applic(0.003)	person(0.002)	offer(0.002)	abil(0.002)	work(0.002)	small(0.002)	hope(0.002)	cost(0.002)	high(0.002)	decent(0.002)	phone(0.002)	real(0.002)	issu(0.002)	start(0.002)	thing(0.002)	connect(0.002)	
Topic 53(0.016):	app(0.439)	store(0.055)	instal(0.015)	download(0.009)	limit(0.006)	googl(0.006)	os(0.005)	android(0.005)	compat(0.004)	find(0.004)	allow(0.004)	select(0.004)	time(0.004)	free(0.004)	play(0.004)	close(0.004)	tv(0.003)	nt(0.003)	websit(0.003)	phone(0.003)	lot(0.003)	great(0.003)	improv(0.003)	amazon(0.002)	lack(0.002)	better(0.002)	load(0.002)	interfac(0.002)	screen(0.002)	reason(0.002)	hardwar(0.002)	function(0.002)	experi(0.002)	side(0.002)	pretti(0.002)	user(0.002)	lag(0.002)	control(0.002)	switch(0.002)	camera(0.002)	annoy(0.002)	good(0.002)	compar(0.002)	qualiti(0.002)	expect(0.002)	high(0.002)	add(0.002)	thought(0.002)	set(0.002)	prefer(0.002)	
Topic 54(0.016):	charg(0.284)	charger(0.073)	usb(0.047)	plug(0.032)	batteri(0.010)	time(0.006)	work(0.006)	phone(0.006)	connector(0.005)	hour(0.005)	hold(0.005)	day(0.005)	turn(0.005)	dead(0.005)	night(0.005)	box(0.004)	nt(0.004)	start(0.004)	month(0.003)	minut(0.003)	port(0.003)	die(0.003)	complet(0.003)	order(0.003)	screen(0.003)	power(0.003)	long(0.003)	coupl(0.003)	short(0.003)	fit(0.003)	left(0.003)	lot(0.002)	micro(0.002)	purchas(0.002)	week(0.002)	issu(0.002)	final(0.002)	includ(0.002)	open(0.002)	buy(0.002)	mention(0.002)	expect(0.002)	find(0.002)	wait(0.002)	horribl(0.002)	money(0.002)	bought(0.002)	pc(0.002)	fast(0.002)	thought(0.002)	
Topic 55(0.015):	thing(0.218)	nt(0.108)	find(0.020)	better(0.017)	lot(0.009)	laptop(0.007)	time(0.007)	space(0.006)	fast(0.005)	kind(0.005)	buy(0.005)	good(0.005)	feel(0.005)	phone(0.005)	experi(0.004)	work(0.004)	screen(0.004)	big(0.004)	comput(0.004)	thought(0.004)	annoy(0.004)	wait(0.003)	featur(0.003)	close(0.003)	enjoy(0.003)	pretti(0.003)	real(0.003)	peopl(0.003)	reason(0.003)	chang(0.003)	person(0.003)	open(0.003)	app(0.003)	extrem(0.003)	stuff(0.003)	start(0.002)	expect(0.002)	camera(0.002)	care(0.002)	android(0.002)	high(0.002)	smooth(0.002)	mind(0.002)	fact(0.002)	coupl(0.002)	size(0.002)	definit(0.002)	interfac(0.002)	upgrad(0.002)	fair(0.002)	
Topic 56(0.015):	time(0.190)	crash(0.047)	freez(0.041)	start(0.025)	reboot(0.023)	constant(0.017)	work(0.016)	minut(0.016)	wait(0.009)	reset(0.008)	second(0.008)	boot(0.008)	complet(0.006)	hope(0.006)	week(0.005)	final(0.005)	purchas(0.005)	nt(0.005)	screen(0.004)	better(0.004)	frustrat(0.004)	lot(0.003)	restart(0.003)	money(0.003)	month(0.003)	return(0.003)	reason(0.003)	random(0.003)	multipl(0.003)	turn(0.003)	long(0.003)	load(0.003)	day(0.003)	upgrad(0.003)	pretti(0.003)	fast(0.003)	enjoy(0.003)	find(0.003)	good(0.003)	short(0.003)	fine(0.002)	issu(0.002)	option(0.002)	star(0.002)	wife(0.002)	hardwar(0.002)	switch(0.002)	open(0.002)	system(0.002)	coupl(0.002)	
Topic 57(0.015):	purchas(0.096)	year(0.062)	model(0.052)	case(0.021)	version(0.015)	time(0.014)	experi(0.012)	store(0.012)	month(0.011)	softwar(0.008)	price(0.007)	user(0.007)	compar(0.006)	screen(0.006)	buy(0.006)	lot(0.006)	work(0.006)	nt(0.006)	mention(0.005)	money(0.005)	hope(0.005)	featur(0.005)	upgrad(0.005)	updat(0.005)	decid(0.004)	absolut(0.004)	review(0.004)	cover(0.004)	consid(0.004)	thing(0.004)	start(0.004)	option(0.004)	onlin(0.003)	expect(0.003)	reason(0.003)	test(0.003)	person(0.003)	peopl(0.003)	great(0.003)	digit(0.003)	help(0.003)	deal(0.003)	top(0.003)	point(0.003)	coupl(0.003)	wait(0.003)	email(0.003)	download(0.003)	find(0.003)	appear(0.003)	
Topic 58(0.015):	unit(0.174)	replac(0.048)	newegg(0.045)	refurbish(0.025)	purchas(0.017)	return(0.015)	work(0.013)	die(0.011)	bought(0.011)	refund(0.010)	process(0.010)	day(0.009)	time(0.008)	week(0.008)	issu(0.007)	support(0.007)	deal(0.006)	month(0.005)	brand(0.004)	screen(0.004)	condit(0.004)	nt(0.004)	thought(0.004)	light(0.004)	wait(0.003)	sale(0.003)	reason(0.003)	buy(0.003)	receiv(0.003)	includ(0.003)	minut(0.003)	hope(0.003)	phone(0.003)	star(0.003)	price(0.003)	defect(0.003)	fail(0.003)	product(0.003)	good(0.003)	boot(0.003)	money(0.002)	fast(0.002)	factori(0.002)	start(0.002)	qualiti(0.002)	total(0.002)	care(0.002)	websit(0.002)	system(0.002)	box(0.002)	
Topic 59(0.015):	good(0.077)	perform(0.068)	pretti(0.057)	bit(0.056)	better(0.050)	screen(0.015)	high(0.012)	decent(0.010)	nt(0.009)	feel(0.008)	lot(0.007)	qualiti(0.007)	smooth(0.006)	compar(0.006)	expect(0.006)	great(0.005)	price(0.005)	time(0.005)	root(0.004)	find(0.004)	resolut(0.004)	lag(0.004)	consid(0.004)	respons(0.004)	big(0.004)	reason(0.004)	light(0.004)	notic(0.003)	experi(0.003)	solid(0.003)	work(0.003)	side(0.003)	annoy(0.003)	spec(0.003)	set(0.003)	processor(0.003)	fit(0.003)	phone(0.003)	android(0.003)	app(0.003)	close(0.003)	fast(0.003)	sound(0.002)	thing(0.002)	bright(0.002)	low(0.002)	os(0.002)	easili(0.002)	design(0.002)	game(0.002)	
Topic 60(0.017):	samsung(0.183)	galaxi(0.091)	pen(0.063)	write(0.048)	stylus(0.037)	featur(0.035)	spen(0.022)	draw(0.016)	paper(0.016)	text(0.009)	student(0.008)	tab(0.007)	document(0.007)	edit(0.007)	hand(0.006)	class(0.006)	offer(0.005)	multitask(0.005)	pdf(0.005)	meet(0.004)	digit(0.004)	allow(0.004)	time(0.004)	open(0.004)	program(0.004)	high(0.003)	screen(0.003)	experi(0.003)	find(0.003)	chang(0.003)	save(0.003)	lot(0.003)	function(0.003)	compar(0.003)	review(0.003)	school(0.003)	resolut(0.003)	phone(0.003)	app(0.003)	side(0.003)	prefer(0.003)	futur(0.003)	hope(0.003)	better(0.002)	softwar(0.002)	reason(0.002)	extra(0.002)	simpli(0.002)	work(0.002)	fact(0.002)	
Topic 61(0.015):	buy(0.204)	bought(0.063)	money(0.017)	work(0.016)	nt(0.014)	better(0.010)	lot(0.006)	thought(0.006)	time(0.005)	thing(0.005)	laptop(0.005)	phone(0.005)	price(0.005)	screen(0.005)	save(0.005)	brand(0.004)	piec(0.004)	help(0.004)	big(0.004)	purchas(0.004)	find(0.004)	peopl(0.004)	reason(0.004)	drop(0.004)	cost(0.004)	deal(0.004)	day(0.003)	start(0.003)	kind(0.003)	extra(0.003)	month(0.003)	spend(0.003)	decid(0.003)	upgrad(0.003)	horribl(0.003)	issu(0.003)	expect(0.003)	protect(0.003)	star(0.003)	offer(0.003)	qualiti(0.003)	enjoy(0.003)	wife(0.002)	person(0.002)	easi(0.002)	case(0.002)	turn(0.002)	real(0.002)	direct(0.002)	point(0.002)	
Topic 62(0.016):	nt(0.439)	wo(0.047)	work(0.008)	find(0.005)	good(0.004)	reason(0.003)	thing(0.003)	lot(0.003)	open(0.003)	better(0.003)	help(0.003)	phone(0.003)	pay(0.003)	big(0.003)	hope(0.002)	buy(0.002)	pretti(0.002)	app(0.002)	screen(0.002)	onlin(0.002)	save(0.002)	figur(0.002)	laptop(0.002)	money(0.002)	chang(0.002)	start(0.002)	week(0.002)	bit(0.002)	day(0.002)	close(0.002)	slow(0.002)	bought(0.002)	decid(0.002)	side(0.002)	basic(0.002)	stay(0.002)	long(0.002)	camera(0.002)	order(0.002)	case(0.002)	fast(0.002)	qualiti(0.002)	wait(0.002)	left(0.002)	featur(0.002)	design(0.002)	kind(0.002)	product(0.002)	star(0.002)	second(0.002)	
Topic 63(0.015):	review(0.128)	read(0.073)	time(0.049)	peopl(0.020)	screen(0.011)	decid(0.010)	point(0.009)	better(0.008)	thing(0.008)	reason(0.007)	hope(0.007)	nt(0.007)	lot(0.006)	experi(0.005)	work(0.005)	buy(0.005)	find(0.005)	wait(0.005)	mention(0.005)	great(0.004)	coupl(0.004)	notic(0.004)	purchas(0.004)	big(0.004)	help(0.004)	feel(0.004)	day(0.004)	thought(0.004)	start(0.003)	compar(0.003)	base(0.003)	star(0.003)	chang(0.003)	laptop(0.003)	function(0.003)	open(0.003)	good(0.003)	phone(0.003)	fast(0.003)	appear(0.003)	person(0.003)	high(0.003)	resolut(0.003)	user(0.003)	qualiti(0.003)	featur(0.003)	definit(0.003)	negat(0.003)	pretti(0.002)	enjoy(0.002)	
Topic 64(0.015):	card(0.037)	file(0.024)	includ(0.019)	read(0.017)	reader(0.016)	support(0.015)	touch(0.015)	sd(0.015)	photo(0.014)	app(0.014)	nt(0.011)	allow(0.011)	data(0.011)	email(0.010)	type(0.010)	edit(0.010)	mode(0.010)	time(0.009)	find(0.008)	camera(0.008)	document(0.008)	screen(0.008)	size(0.008)	requir(0.008)	print(0.007)	addit(0.007)	save(0.007)	featur(0.006)	offic(0.006)	usb(0.006)	manag(0.006)	web(0.006)	hand(0.006)	space(0.006)	wifi(0.006)	work(0.006)	capabl(0.005)	ebook(0.005)	creat(0.005)	applic(0.005)	laptop(0.005)	lot(0.005)	transfer(0.004)	reason(0.004)	general(0.004)	format(0.004)	prefer(0.004)	open(0.004)	level(0.004)	text(0.004)	
Topic 65(0.015):	wifi(0.097)	connect(0.092)	soni(0.046)	time(0.025)	issu(0.013)	transfer(0.010)	drop(0.010)	remot(0.008)	function(0.008)	work(0.006)	better(0.006)	great(0.006)	softwar(0.005)	screen(0.005)	card(0.005)	android(0.005)	nt(0.005)	help(0.005)	program(0.005)	month(0.005)	pc(0.005)	case(0.004)	find(0.004)	star(0.004)	includ(0.004)	design(0.004)	set(0.004)	qualiti(0.004)	decent(0.004)	phone(0.004)	pretti(0.004)	featur(0.004)	reason(0.004)	wait(0.004)	review(0.003)	good(0.003)	download(0.003)	chang(0.003)	fast(0.003)	lot(0.003)	control(0.003)	perform(0.003)	upgrad(0.003)	app(0.003)	cours(0.003)	compar(0.003)	week(0.003)	updat(0.003)	side(0.003)	day(0.003)	
Topic 66(0.016):	turn(0.116)	power(0.098)	button(0.085)	second(0.037)	reset(0.021)	time(0.018)	press(0.016)	start(0.014)	week(0.012)	screen(0.009)	wait(0.008)	work(0.008)	help(0.006)	mode(0.005)	minut(0.005)	factori(0.005)	nt(0.004)	complet(0.004)	coupl(0.004)	shut(0.004)	thing(0.004)	option(0.004)	issu(0.003)	light(0.003)	day(0.003)	hope(0.003)	left(0.003)	set(0.003)	thought(0.003)	open(0.003)	good(0.003)	month(0.003)	long(0.003)	function(0.003)	return(0.002)	fast(0.002)	lag(0.002)	phone(0.002)	short(0.002)	review(0.002)	sleep(0.002)	small(0.002)	reason(0.002)	load(0.002)	decid(0.002)	replac(0.002)	purchas(0.002)	mention(0.002)	hold(0.002)	better(0.002)	
